Kode_RS,Rumah_Sakit,Provinsi,Kab_Kota,Kelas,Penyelenggara_Kategori,Total_SDM_Tercatat,Jumlah_Jenis_SDM_Tersedia,Ada_Data_Alkes,Total_Unit_Alkes_Tercatat,Jumlah_Jenis_Alkes_Tersedia,Jumlah_Layanan_BPJS_Tercatat,Jumlah_Layanan_BPJS_Sudah,Persen_Layanan_BPJS_Sudah
1107017,RS Tingkat IV IM 07.02,Aceh,Aceh Barat,D,RS Publik,8.0,3,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1107014,RS Umum Daerah Cut Nyak Dhien,Aceh,Aceh Barat,B,RS Publik,113.0,12,1,3.0,2.0,3,3,100.0
1107016,RS Umum Harapan Sehat,Aceh,Aceh Barat,D,RS Privat,8.0,7,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1107015,RS Umum Montella,Aceh,Aceh Barat,D,RS Privat,13.0,4,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1112011,RS Umum Daerah Teungku Peukan,Aceh,Aceh Barat Daya,C,RS Publik,81.0,12,1,7.0,1.0,1,1,100.0
1108028,RS Hermina Aceh,Aceh,Aceh Besar,D,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1108015,RS Umum Daerah Kabupaten Aceh Besar,Aceh,Aceh Besar,C,RS Publik,48.0,12,1,0.0,0.0,0,0,Tidak tercatat
1108017,RS Umum Ibnu Sina,Aceh,Aceh Besar,D,RS Privat,28.0,5,0,Tidak tercatat,Tidak tercatat,2,2,100.0
1116011,RS Umum Daerah Teuku Umar Kabupaten Aceh Jaya,Aceh,Aceh Jaya,C,RS Publik,49.0,12,1,3.0,2.0,1,1,100.0
1103021,RS Cahaya Sehat,Aceh,Aceh Selatan,D,RS Publik,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1103010,RS Umum Daerah Dr. H. Yulidin Away,Aceh,Aceh Selatan,B,RS Publik,102.0,15,1,1.0,1.0,1,1,100.0
1102016,RS Umum Daerah Aceh Singkil,Aceh,Aceh Singkil,C,RS Publik,80.0,12,1,3.0,1.0,1,1,100.0
1114011,RS Umum Daerah Tamiang,Aceh,Aceh Tamiang,C,RS Publik,93.0,13,1,3.0,1.0,2,2,100.0
1105034,RS Umum Pertamina Rantau,Aceh,Aceh Tamiang,D,RS Privat,8.0,3,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1106013,RS Umum Daerah Datu Beru Takengon,Aceh,Aceh Tengah,B,RS Publik,131.0,13,1,2.0,2.0,4,4,100.0
1106014,RS Umum Fandika,Aceh,Aceh Tengah,D,RS Privat,8.0,2,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1104013,RS Ibu dan Anak Keluarga Desa,Aceh,Aceh Tenggara,C,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1104011,RS Umum Daerah H. Sahudin Kutacane,Aceh,Aceh Tenggara,C,RS Publik,85.0,13,1,1.0,1.0,2,2,100.0
1104012,RS Umum Nurul Hasanah,Aceh,Aceh Tenggara,C,RS Privat,24.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1105067,RS Umum Daerah Sultan Abdul Aziz Syah Peureulak,Aceh,Aceh Timur,C,RS Publik,61.0,13,0,Tidak tercatat,Tidak tercatat,2,2,100.0
1105056,RS Umum Daerah dr. Zubir Mahmud,Aceh,Aceh Timur,B,RS Publik,87.0,13,1,2.0,2.0,3,3,100.0
1105078,RS Umum Graha Bunda ,Aceh,Aceh Timur,C,RS Publik,4.0,2,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1174016,RS Umum Cut Meutia Kab. Aceh Utara,Aceh,Aceh Utara,B,RS Publik,125.0,13,1,7.0,5.0,3,3,100.0
1111006,RS Umum Daerah dr. Muchtar Hasbi,Aceh,Aceh Utara,D PRATAMA,RS Publik,4.0,2,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1111005,RS Umum Prima Inti Medika,Aceh,Aceh Utara,D,RS Privat,28.0,10,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1111029,RS Zahra,Aceh,Aceh Utara,D,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1117027,RS Ibu dan Anak Azalia,Aceh,Bener Meriah,C,RS Privat,11.0,7,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1117025,RS Umum Daerah Muyang Kute Redelong Bener Meriah,Aceh,Bener Meriah,C,RS Publik,78.0,11,1,1.0,1.0,2,2,100.0
1110103,RS Umum Avicenna,Aceh,Bireuen,D,RS Privat,35.0,9,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1110101,RS Umum Bireuen Medical Center ,Aceh,Bireuen,D,RS Publik,33.0,10,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1110075,RS Umum Daerah Dr. Fauziah Bireun,Aceh,Bireuen,B,RS Publik,155.0,14,1,4.0,4.0,2,2,100.0
1110104,RS Umum Jeumpa Hospital,Aceh,Bireuen,C,RS Privat,31.0,12,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1110027,RS Umum Malahayati,Aceh,Bireuen,D,RS Publik,29.0,12,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1110102,RS Umum Telaga Bunda,Aceh,Bireuen,D,RS Publik,40.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1113012,RS Umum Muhammad Ali Kasim,Aceh,Gayo Lues,C,RS Publik,64.0,11,1,2.0,1.0,1,1,100.0
1171143,RS Bhayangkara Banda Aceh,Aceh,Kota Banda Aceh,C,RS Publik,46.0,7,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1171146,RS Ibu dan Anak Cempaka Az Zahra Banda Aceh,Aceh,Kota Banda Aceh,C,RS Privat,20.0,7,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1171121,RS Ibu dan Anak Pemerintah Aceh,Aceh,Kota Banda Aceh,B,RS Publik,116.0,11,0,Tidak tercatat,Tidak tercatat,3,3,100.0
1171041,RS Jiwa Aceh,Aceh,Kota Banda Aceh,A,RS Publik,38.0,6,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1171162,RS Khusus Bedah Sehat Selamat Sejahtera,Aceh,Kota Banda Aceh,C,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1171147,RS Pendidikan Universitas Syiah Kuala,Aceh,Kota Banda Aceh,D,RS Publik,42.0,12,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1171026,RS Tk. II Iskandar Muda Banda Aceh,Aceh,Kota Banda Aceh,B,RS Publik,93.0,12,0,Tidak tercatat,Tidak tercatat,2,2,100.0
1171161,RS Umum Cempaka Lima,Aceh,Kota Banda Aceh,C,RS Privat,18.0,3,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1171015,RS Umum Daerah  Dr. Zainoel Abidin,Aceh,Kota Banda Aceh,A,RS Publik,807.0,21,1,12.0,9.0,5,5,100.0
1171110,RS Umum Daerah Meuraxa,Aceh,Kota Banda Aceh,B,RS Publik,132.0,12,1,4.0,3.0,4,4,100.0
1171096,RS Umum Harapan Bunda Banda Aceh,Aceh,Kota Banda Aceh,C,RS Publik,35.0,7,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1171085,RS Umum Malahayati,Aceh,Kota Banda Aceh,D,RS Publik,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1171145,RS Umum Meutia,Aceh,Kota Banda Aceh,D,RS Privat,2.0,1,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1171150,RS Umum Pertamedika Ummi Rosnati,Aceh,Kota Banda Aceh,C,RS Privat,25.0,6,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1171106,RS Umum Teungku Fakinah,Aceh,Kota Banda Aceh,C,RS Publik,30.0,7,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1173045,RS Cut Nyak Dhien Langsa,Aceh,Kota Langsa,D,RS Publik,1.0,1,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1173056,RS Ibu dan Anak Ummi Langsa,Aceh,Kota Langsa,C,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1173023,RS Umum Cut Meutia,Aceh,Kota Langsa,C,RS Privat,18.0,1,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1173012,RS Umum Daerah Langsa,Aceh,Kota Langsa,B,RS Publik,112.0,14,1,4.0,4.0,2,2,100.0
1173003,RS Umum Ummi Langsa,Aceh,Kota Langsa,D,RS Privat,11.0,5,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1110053,RS Arun Lhokseumawe,Aceh,Kota Lhokseumawe,C,RS Privat,30.0,12,0,Tidak tercatat,Tidak tercatat,2,2,100.0
1174023,RS Ibu dan Anak ABBY,Aceh,Kota Lhokseumawe,C,RS Privat,17.0,8,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1174100,RS Tk. IV Lhokseumawe Aceh Utara,Aceh,Kota Lhokseumawe,C,RS Publik,52.0,13,0,Tidak tercatat,Tidak tercatat,2,2,100.0
1174024,RS Umum Az-Zuhra,Aceh,Kota Lhokseumawe,D,RS Privat,30.0,8,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1110086,RS Umum Bunda ,Aceh,Kota Lhokseumawe,C,RS Publik,27.0,9,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1174019,RS Umum Bunga Melati,Aceh,Kota Lhokseumawe,D,RS Privat,26.0,10,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1174064,RS Umum Kasih Ibu Lhokseumawe,Aceh,Kota Lhokseumawe,C,RS Publik,20.0,10,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1174022,RS Umum Metro Medical Center,Aceh,Kota Lhokseumawe,D,RS Privat,38.0,9,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1111018,RS Umum PMI Cabang Aceh Utara,Aceh,Kota Lhokseumawe,D,RS Publik,27.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1174021,RS Umum Sakinah,Aceh,Kota Lhokseumawe,D,RS Publik,23.0,9,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1172031,RS AL Sabang,Aceh,Kota Sabang,D,RS Publik,9.0,5,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1172016,RS Umum Daerah Sabang,Aceh,Kota Sabang,C,RS Publik,45.0,11,1,2.0,1.0,1,1,100.0
1102027,RS Umum Daerah Kota Subulussalam,Aceh,Kota Subulussalam,C,RS Publik,67.0,11,1,2.0,1.0,2,2,100.0
1115012,RS Umum Daerah Sultan Iskandar Muda Nagan Raya,Aceh,Nagan Raya,C,RS Publik,75.0,12,1,4.0,1.0,1,1,100.0
1109031,RS Islam Ibnu Sina Sigli,Aceh,Pidie,D,RS Privat,24.0,9,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1109029,RS Umum Citra Husada,Aceh,Pidie,D,RS Privat,45.0,12,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1109016,RS Umum Daerah TGK Chik Ditiro Sigli,Aceh,Pidie,B,RS Publik,97.0,12,1,5.0,5.0,4,4,100.0
1109027,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Aceh,Pidie,C,RS Publik,67.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
1109042,RS Umum Harapan Ibu,Aceh,Pidie,D,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
1109028,RS Umum Mufid,Aceh,Pidie,D,RS Privat,26.0,12,0,Tidak tercatat,Tidak tercatat,2,2,100.0
1118012,RS Umum Daerah Pidie Jaya,Aceh,Pidie Jaya,B,RS Publik,91.0,11,1,6.0,2.0,0,0,Tidak tercatat
1101015,RS Umum Daerah Simeulue,Aceh,Simeulue,C,RS Publik,43.0,10,1,0.0,0.0,1,1,100.0
5103038,RS Bali Jimbaran,Bali,Badung,C,RS Privat,69.0,11,0,Tidak tercatat,Tidak tercatat,3,3,100.0
5103032,RS Daerah Mangusada,Bali,Badung,B,RS Publik,127.0,15,1,6.0,6.0,4,4,100.0
5103021,RS Khusus Bedah BIMC,Bali,Badung,C,RS Privat,47.0,11,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5103034,RS Khusus Bedah BIMC Nusa Dua,Bali,Badung,B,RS Privat,41.0,10,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5103041,RS Umum Garba Med,Bali,Badung,C,RS Privat,43.0,10,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5103033,RS Umum Kasih Ibu Kedonganan,Bali,Badung,C,RS Publik,45.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5103052,RS Umum Murni Teguh Tuban Bali,Bali,Badung,C,RS Privat,54.0,13,0,Tidak tercatat,Tidak tercatat,3,3,100.0
5103035,RS Umum Siloam Bali,Bali,Badung,B,RS Privat,130.0,17,0,Tidak tercatat,Tidak tercatat,2,2,100.0
