Nama_RS_BPJS,Kode_RS,Status_BPJS,Layanan_BPJS,Rumah_Sakit,Provinsi,Kab_Kota,Status_Sudah_BPJS
RS Ibu dan Anak Propinsi NAD,1171121,Sudah kerjasama BPJS,Kemo,RS Ibu dan Anak Pemerintah Aceh,Aceh,Kota Banda Aceh,1
RSUD Dr. Zainoel Abidin,1171015,Sudah kerjasama BPJS,Kemo,RS Umum Daerah  Dr. Zainoel Abidin,Aceh,Kota Banda Aceh,1
RSUD TGK Chik Ditiro Sigli,1109016,Sudah kerjasama BPJS,Kemo,RS Umum Daerah TGK Chik Ditiro Sigli,Aceh,Pidie,1
RSUD Cut Meutia,1174026,Sudah kerjasama BPJS,Kemo,,,,1
RS Grandmed,1218158,Sudah kerjasama BPJS,Kemo,RS Grandmed ,Sumatera Utara,Deli Serdang,1
RSU Sembiring,1212045,Sudah kerjasama BPJS,Kemo,RS Umum Sembiring Deli Tua,Sumatera Utara,Deli Serdang,1
RSU Putri Bidadari,1213059,Sudah kerjasama BPJS,Kemo,RS Umum Putri Bidadari,Sumatera Utara,Langkat,1
RSUD Dr. Pirngadi,1275013,Belum kerjasama BPJS,Kemo,RS Umum Daerah Dr. Pirngadi,Sumatera Utara,Kota Medan,0
RS Santa Elisabeth,1275072,Sudah kerjasama BPJS,Kemo,RS Umum Santa Elisabeth Medan,Sumatera Utara,Kota Medan,1
RS Universitas Sumatera Utara,1275913,Sudah kerjasama BPJS,Kemo,RS Umum Universitas Sumatera Utara,Sumatera Utara,Kota Medan,1
RSU Haji Medan,1275794,Sudah kerjasama BPJS,Kemo,RS Umum Haji Medan,Sumatera Utara,Deli Serdang,1
RSI Malahayati,1275163,Sudah kerjasama BPJS,Kemo,RS Umum Islam Malahayati,Sumatera Utara,Kota Medan,1
RSUP H. Adam Malik,1275655,Sudah kerjasama BPJS,Kemo,RS Umum Pusat H. Adam Malik,Sumatera Utara,Kota Medan,1
RSU Imeda Pekerja Indonesia,1275622,Sudah kerjasama BPJS,Kemo,RS Umum Imelda Pekerja Indonesia,Sumatera Utara,Kota Medan,1
RSU Murni Teguh,1275889,Belum kerjasama BPJS,Kemo,RS Umum Murni Teguh Memorial Hospital,Sumatera Utara,Kota Medan,0
RSU Vina Estetika,1275276,Sudah kerjasama BPJS,Kemo,RS Umum Vina Estetica,Sumatera Utara,Kota Medan,1
RS Royal Prima,1504017,Sudah kerjasama BPJS,Kemo,RS Royal Prima,Jambi,Kota Jambi,1
RS Awal Bros Batam,2071103,Sudah kerjasama BPJS,Kemo,RS Umum Awal Bros Batam,Kepulauan Riau,Kota Batam,1
RS Badan Pengusahaan Batam,2071034,Sudah kerjasama BPJS,Kemo,RS Badan Pengusahaan Batam,Kepulauan Riau,Kota Batam,1
RSUD Embung Fatimah,2071114,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Embung Fatimah Kota Batam,Kepulauan Riau,Kota Batam,1
RS Otak DR. Drs. M. Hatta Bukittinggi,1375014,Belum kerjasama BPJS,Kemo,RS Umum Daerah Dr. Achmad Mochtar,Sumatera Barat,Kota Bukittinggi,0
RS Islam Arafah,1571159,Sudah kerjasama BPJS,Kemo,RS Islam Arafah,Jambi,Kota Jambi,1
