Kode_RS,Rumah_Sakit,Jenis,Jenis_Grup,Kelas,Penyelenggara,Penyelenggara_Kategori,Provinsi,Kab_Kota,Dokter,Dokter Gigi,Dokter Spesialis Penyakit Dalam (Sp.PD),Dokter Spesialis Obstetri & Ginekologi (Sp.OG),Dokter Spesialis Anak (Sp.A),Dokter Spesialis Bedah (Sp.B),Subspesialis Digestif,Subspesialis Onkologi,Dokter Spesialis Obstetri & Ginekologi (Sp.OG)_2,Subspesialis Onkologi ginekologi,Dokter Spesialis Penyakit Dalam (Sp.PD)_2,Subspesialis Hematologi onkologi,Subspesialis Gastroenterologi-hepatologi,Dokter Spesialis Anak (Sp.A)_2,Subspesialis Hematologi onkologi_2,Dokter Spesialis Paru  - Pulmonologi (Sp.P),Subspesialis Onkologi thoraks,Dokter Spesialis Patologi Anatomi (Sp.PA),Dokter Spesialis Patologi Klinik (SP.PK),Dokter Spesialis Radiologi (Sp.Rad),Dokter Spesialis Onkologi Radiasi (Sp.Onk.Rad),Dokter Spesialis Anastesiologi (Sp.An),Dokter Spesialis Nuklir (Sp.KN),Ahli Teknologi Laboratorium Medik (Analis Kesehatan),Fisikawan Medik,Radiografer,Total_SDM_Tercatat,Jumlah_Jenis_SDM_Tersedia,Kelengkapan_Data_SDM_pct,Brachytherapy,CT Scan 128,CT Scan 64,CT Simulator,CUSA,Cyclotron,Cytotoxic drug safety cabinet,Flowcytometer,IHK Manual,IHK Set,LINAC,Mammografi,Mikroskop fluoresen,Mikroskop microsurgery,MRI 1.5 Tesla,PET CT,Set Histopatologi,Slide Scanner / Digital Pathology,SPECT CT,"USG (Payudara, Abdomen, Ginekologi)",Jumlah_Record_Alkes_Raw,Duplikat_Alkes_Raw,Total_Unit_Alkes_Tercatat,Jumlah_Jenis_Alkes_Tersedia,Kelengkapan_Data_Alkes_pct,Ada_Data_Alkes,BPJS_Bedah Onko,BPJS_Bronkoskopi,BPJS_Kemo,BPJS_Kolonoskopi,BPJS_Mammografi,BPJS_Patologi Anatomi,BPJS_Patologi Klinik,BPJS_Radioterapi,Jumlah_Layanan_BPJS_Tercatat,Jumlah_Layanan_BPJS_Sudah,Persen_Layanan_BPJS_Sudah
1103010,RS Umum Daerah Dr. H. Yulidin Away,RSU,RS Umum,B,Pemkab,RS Publik,Aceh,Aceh Selatan,40.0,5.0,3.0,3.0,3.0,3.0,,1.0,3.0,,3.0,,,3.0,,2.0,,1.0,2.0,1.0,,2.0,,23.0,1.0,12.0,102.0,15,65.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,1.0,False,1.0,1.0,75.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1103021,RS Cahaya Sehat,RSU,RS Umum,D,Kementerian Lain,RS Publik,Aceh,Aceh Selatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1104011,RS Umum Daerah H. Sahudin Kutacane,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Aceh Tenggara,28.0,3.0,3.0,1.0,1.0,3.0,,,1.0,,3.0,,,1.0,,1.0,,1.0,2.0,1.0,,1.0,,28.0,,12.0,85.0,13,56.52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,1.0,False,1.0,1.0,75.0,1,,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,2,2,100.0
1104012,RS Umum Nurul Hasanah,RSU,RS Umum,C,Swasta,RS Privat,Aceh,Aceh Tenggara,10.0,1.0,2.0,2.0,2.0,1.0,,,2.0,,2.0,,,2.0,,,,1.0,1.0,1.0,,1.0,,,,2.0,24.0,11,47.83,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1104013,RS Ibu dan Anak Keluarga Desa,RSIA,RS Khusus,C,Swasta,RS Privat,Aceh,Aceh Tenggara,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1105056,RS Umum Daerah dr. Zubir Mahmud,RSU,RS Umum,B,Pemkab,RS Publik,Aceh,Aceh Timur,30.0,2.0,2.0,4.0,2.0,2.0,,,4.0,,2.0,,,2.0,,2.0,,1.0,2.0,1.0,,2.0,,22.0,,15.0,87.0,13,56.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,,1.0,False,2.0,2.0,75.0,1,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,3,3,100.0
1105067,RS Umum Daerah Sultan Abdul Aziz Syah Peureulak,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Aceh Timur,26.0,2.0,3.0,3.0,2.0,2.0,,,3.0,,3.0,,,2.0,,1.0,,1.0,1.0,1.0,,1.0,,12.0,,6.0,61.0,13,56.52,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,2,2,100.0
1105078,RS Umum Graha Bunda ,RSU,RS Umum,C,Swasta Non Profit,RS Publik,Aceh,Aceh Timur,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,4.0,2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1106013,RS Umum Daerah Datu Beru Takengon,RSU,RS Umum,B,Pemkab,RS Publik,Aceh,Aceh Tengah,42.0,2.0,2.0,3.0,3.0,2.0,,,3.0,,2.0,,,3.0,,3.0,,3.0,3.0,2.0,,2.0,,41.0,,23.0,131.0,13,56.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,1.0,0.0,,,0.0,,1.0,False,2.0,2.0,75.0,1,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,4,4,100.0
1106014,RS Umum Fandika,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Aceh Tengah,6.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,8.0,2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
